Path,ClientComputerName,ClientUserName
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200607,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200607\SAP Gain Extracts,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200608,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200609,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200610,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200611,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200612,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200701,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200702,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200703,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200704,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200705,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200706,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200707,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200708,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200709,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200710,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200711,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200712,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200801,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200802,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200803,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200804,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200805,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200806,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200807,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200808,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW\CTP_Reporting\DataCompiler\OLD\200809,10.64.194.153,UK\sumanan
